model,precision,recall,f1,pr_auc,tn,fp,fn,tp
logreg_orig,0.75,0.061224489795918366,0.11320754716981132,0.17322549000631088,39950,1,46,3
logreg_balanced,0.006834472412068678,0.8367346938775511,0.013558201058201057,0.20184511575053363,33993,5958,8,41
rf_orig_d10,1.0,0.14285714285714285,0.25,0.4408228682522163,39951,0,42,7
rf_balanced_d10,0.01283987915407855,0.6938775510204082,0.02521319985168706,0.09407433592869,37337,2614,15,34
rf_balanced_d20,0.23255813953488372,0.40816326530612246,0.2962962962962963,0.33675491559560816,39885,66,29,20
rf_orig_d10_thr0.20,1.0,0.3469387755102041,0.5151515151515151,0.4408228682522163,39951,0,32,17
rf_orig_d10_TEST_thr0.20,0.04701397712833545,0.7551020408163265,0.08851674641148326,0.4696108449529979,39201,750,12,37
